IGHV3-32	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV3-29	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV3-28	1	75	76	99	100	150	151	171	172	285	VH	0
IGHV3-25	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV7-23	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV3-22	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV3-20	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV3-17	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV3-16	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV7-14	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV3-13	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV3-11	1	75	76	99	100	150	151	174	175	288	VH	0
pIGHV3-10	1	75	76	99	100	150	151	171	172	285	VH	0
IGHV3-8	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV7-5	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV3-4	1	75	76	99	100	150	151	174	175	288	VH	0
orfIGHV3-3	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV4-2	1	75	76	102	103	149	150	168	169	282	VH	0
IGHV3-43*01-IMGT-IGHV3-53	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV3-32*01-IMGT	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV7-26*01-IMGT	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV3-20*01-IMGT-IGHV3-20	1	75	76	99	100	150	151	174	175	288	VH	0
pIGHV3-10*01-IMGT-IGHV3-10	1	75	76	99	100	150	151	171	172	285	VH	0
IGHV3-4*01-IMGT-IGHV3-4	1	75	76	99	100	150	151	174	175	288	VH	0
orfIGHV3-3*01-IMGT-orfIGHV3-3	1	75	76	99	100	150	151	174	175	288	VH	0
IGKV8-86*01	1	78	79	96	97	147	148	156	157	264	VK	0
IGKV2-85*01	1	78	79	111	112	162	163	171	172	279	VK	0
orfIGKV2-83*01	1	78	79	111	112	162	163	171	172	279	VK	0
IGKV2-82*02	1	78	79	111	112	162	163	171	172	279	VK	0
IGKV2-82*01	1	78	79	111	112	162	163	171	172	279	VK	0
IGKV2-80*01	1	78	79	111	112	162	163	171	172	279	VK	0
IGKV2-79*01	1	78	79	111	112	162	163	171	172	279	VK	0
pIGKV2-78*01	1	76	77	107	108	158	159	167	168	275	VK	0
IGKV2-75*01	1	78	79	111	112	162	163	171	172	279	VK	0
IGKV2-74*02	1	78	79	111	112	162	163	171	172	279	VK	0
IGKV2-74*01	1	78	79	111	112	162	163	171	172	279	VK	0
pIGKV2-73*02	1	77	78	104	105	153	154	162	163	269	VK	0
pIGKV2-73*01	1	77	78	103	104	153	154	162	163	269	VK	0
pIGKV2-70*01	1	78	79	111	112	162	163	171	172	279	VK	0
